artistName,completionYear,detailsUrl,imageUrl,title
Claude Monet,1888,http://www.wikiart.org/en/claude-monet/antibes-in-the-morning,https://uploads0.wikiart.org/images/claude-monet/antibes-in-the-morning(1).jpg,Antibes in the Morning
Jean-Leon Gerome,1865,http://www.wikiart.org/en/jean-leon-gerome/prayer-in-cairo-1865,https://uploads8.wikiart.org/images/jean-leon-gerome/prayer-in-cairo-1865.jpg,Prayer in Cairo
Ferdinand Georg Waldmüller,1857,http://www.wikiart.org/en/ferdinand-georg-waldm-ller/corpus-christi-morning-1857,https://uploads1.wikiart.org/images/ferdinand-georg-waldm-ller/corpus-christi-morning-1857(8).jpg,Corpus Christi Morning
Ferdinand Georg Waldmüller,1859,http://www.wikiart.org/en/ferdinand-georg-waldm-ller/the-pilgrims-resting,https://uploads0.wikiart.org/images/ferdinand-georg-waldm-ller/the-pilgrims-resting.jpg,The pilgrims resting
Julian Alden Weir,1910,http://www.wikiart.org/en/julian-alden-weir/the-bridge-nocturne-aka-nocturne-queensboro-bridge-1910,https://uploads8.wikiart.org/images/julian-alden-weir/the-bridge-nocturne-aka-nocturne-queensboro-bridge-1910.jpg,The Bridge Nocturne aka Nocturne Queensboro Bridge
Antoine Watteau,1720,http://www.wikiart.org/en/antoine-watteau/l-enseigne-de-gersaint-1720,https://uploads5.wikiart.org/images/antoine-watteau/l-enseigne-de-gersaint-1720.jpg,L'Enseigne de Gersaint
Johan Hendrik Weissenbruch,-1,http://www.wikiart.org/en/johan-hendrik-weissenbruch/ships-in-harbour,https://uploads5.wikiart.org/images/johan-hendrik-weissenbruch/ships-in-harbour.jpg,Ships in harbour
John James Audubon,-1,http://www.wikiart.org/en/john-james-audubon/plate-6-wild-turkey,https://uploads0.wikiart.org/images/john-james-audubon/plate-6-wild-turkey.jpg,Plate 6. Wild Turkey
David Wilkie,1818,http://www.wikiart.org/en/david-wilkie/the-penny-wedding,https://uploads4.wikiart.org/images/david-wilkie/the-penny-wedding(1).jpg,The Penny Wedding
Christopher Wood,1929,http://www.wikiart.org/en/christopher-wood/a-fishing-boat-in-dieppe-harbour-1929,https://uploads7.wikiart.org/images/christopher-wood/a-fishing-boat-in-dieppe-harbour-1929.jpg,A Fishing Boat in Dieppe Harbour
Grant Wood,1940,http://www.wikiart.org/en/grant-wood/january-1940,https://uploads3.wikiart.org/images/grant-wood/january-1940.jpg,January
Grant Wood,1930,http://www.wikiart.org/en/grant-wood/sketch-for-house-in-american-gothic-1930,https://uploads7.wikiart.org/images/grant-wood/sketch-for-house-in-american-gothic-1930(1).jpg,Sketch for house in American Gothic
Grant Wood,1931,http://www.wikiart.org/en/grant-wood/young-corn-1931,https://uploads6.wikiart.org/images/grant-wood/young-corn-1931.jpg,Young Corn
Joseph Wright,-1,http://www.wikiart.org/en/joseph-wright/vesuvius-from-posillipo,https://uploads8.wikiart.org/images/joseph-wright/vesuvius-from-posillipo.jpg,Vesuvius from Posillipo
Mykola Yaroshenko,1879,http://www.wikiart.org/en/mykola-yaroshenko/blind-1879,https://uploads8.wikiart.org/images/mykola-yaroshenko/blind-1879.jpg,Blind
Jean-Francois Millet,1859,http://www.wikiart.org/en/jean-francois-millet/the-angelus-1859,https://uploads8.wikiart.org/images/jean-francois-millet/the-angelus-1859.jpg,The Angelus
Henri Rousseau,1891,http://www.wikiart.org/en/henri-rousseau/tiger-in-a-tropical-storm-surprised-1891,https://uploads8.wikiart.org/images/henri-rousseau/tiger-in-a-tropical-storm-surprised-1891.jpg,Tiger in a Tropical Storm (Surprised!)
Claude Monet,1864,http://www.wikiart.org/en/claude-monet/by-the-sea,https://uploads3.wikiart.org/images/claude-monet/by-the-sea.jpg,By the Sea
Claude Monet,1882,http://www.wikiart.org/en/claude-monet/the-manneport,https://uploads6.wikiart.org/images/claude-monet/the-manneport.jpg,The Manneport
William Turner,1839,http://www.wikiart.org/en/william-turner/the-fighting-temeraire-tugged-to-her-last-berth-to-be-broken-up,https://uploads4.wikiart.org/images/william-turner/the-fighting-temeraire-tugged-to-her-last-berth-to-be-broken-up.jpg,"The ""Fighting Temeraire"" Tugged to her Last Berth to be Broken up"
Pieter Bruegel the Elder,1562,http://www.wikiart.org/en/pieter-bruegel-the-elder/the-triumph-of-death-1562-1,https://uploads7.wikiart.org/images/pieter-bruegel-the-elder/the-triumph-of-death.jpg,The Triumph of Death
Paul Gauguin,1886,http://www.wikiart.org/en/paul-gauguin/red-hat-1886,https://uploads5.wikiart.org/images/paul-gauguin/red-hat-1886.jpg,Red hat
Paul Gauguin,1896,http://www.wikiart.org/en/paul-gauguin/still-life-with-teapot-and-fruits-1896,https://uploads4.wikiart.org/images/paul-gauguin/still-life-with-teapot-and-fruits-1896.jpg,Still life with teapot and fruits
George Luks,1915,http://www.wikiart.org/en/george-luks/bleeker-and-carmine-streets,https://uploads1.wikiart.org/images/george-luks/bleeker-and-carmine-streets.jpg,Bleeker and Carmine Streets
 Wassily Kandinsky,1920,http://www.wikiart.org/en/wassily-kandinsky/red-oval-1920,https://uploads2.wikiart.org/images/wassily-kandinsky/red-oval-1920.jpg,Red Oval
