artistContentId,artistName,completitionYear,contentId,image,title,details
235517,Edward Hopper,1939,235566,https://uploads6.wikiart.org/images/edward-hopper/ground-swell.jpg,Ground Swell,https://wikiart.org/en/edward-hopper/ground-swell
204422,M.C. Escher,1938,204475,https://uploads4.wikiart.org/images/m-c-escher/day-and-night.jpg,Day and Night,https://wikiart.org/en/m-c-escher/day-and-night
211667,Claude Monet,1885,211898,https://uploads5.wikiart.org/images/claude-monet/etretat-cliff-of-d-aval-sunset.jpg,"Etretat, Cliff of d`Aval, Sunset",https://wikiart.org/en/claude-monet/etretat-cliff-of-d-aval-sunset
211667,Claude Monet,1864,211801,https://uploads3.wikiart.org/images/claude-monet/by-the-sea.jpg,By the Sea,https://wikiart.org/en/claude-monet/by-the-sea
250832,Octavio Ocampo,-1,250848,https://uploads1.wikiart.org/images/octavio-ocampo/kiss-of-the-sea.jpg,Kiss of the Sea,https://wikiart.org/en/octavio-ocampo/kiss-of-the-sea
189246, Wassily Kandinsky,1913,282911,https://uploads4.wikiart.org/images/wassily-kandinsky/color-study-squares-with-concentric-circles-1913(1).jpg,Color Study: Squares with Concentric Circles,https://wikiart.org/en/wassily-kandinsky/color-study-squares-with-concentric-circles-1913
189246, Wassily Kandinsky,1913,189287,https://uploads8.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg,Composition VI,https://wikiart.org/en/wassily-kandinsky/composition-vi-1913
191443,Gustav Klimt,1902,191595,https://uploads3.wikiart.org/images/gustav-klimt/the-beethoven-frieze-the-longing-for-happiness-finds-repose-in-poetry-right-wall-1.jpg,The Beethoven Frieze: The Longing for Happiness Finds Repose in Poetry. Right wall,https://www.wikiart.org/en/gustav-klimt/the-beethoven-frieze-the-longing-for-happiness-finds-repose-in-poetry-right-wall-1902-1
227598,Alphonse Mucha,1896,227815,https://uploads1.wikiart.org/images/alphonse-mucha/prophetess-1896.jpg,Prophetess,https://wikiart.org/en/alphonse-mucha/prophetess-1896
211667,Claude Monet,1863,212386,https://uploads3.wikiart.org/images/claude-monet/still-life-with-bottles-1863.jpg,Still Life With Bottles,https://wikiart.org/en/claude-monet/still-life-with-bottles-1863
231885,Lucian Freud,2004,232017,https://uploads0.wikiart.org/images/lucian-freud/irish-woman-on-a-bed-2004.jpg,Irish Woman on a Bed,https://wikiart.org/en/lucian-freud/irish-woman-on-a-bed-2004
225091,Leonardo da Vinci,1506,225235,https://uploads6.wikiart.org/images/leonardo-da-vinci/study-for-the-head-of-leda.jpg,Study for the Head of Leda,https://wikiart.org/en/leonardo-da-vinci/study-for-the-head-of-leda
235517,Edward Hopper,1963,235647,https://uploads5.wikiart.org/images/edward-hopper/sun-in-an-empty-room.jpg,Sun in an Empty Room,https://wikiart.org/en/edward-hopper/sun-in-an-empty-room
203953,Fra Angelico,1434,203968,https://uploads1.wikiart.org/images/fra-angelico/annunciation-1434.jpg,Annunciation,https://wikiart.org/en/fra-angelico/annunciation-1434
191443,Gustav Klimt,1887,191483,https://uploads4.wikiart.org/images/gustav-klimt/female-nude.jpg,Female Nude,https://wikiart.org/en/gustav-klimt/female-nude
235517,Edward Hopper,1952,235587,https://uploads5.wikiart.org/images/edward-hopper/morning-sun.jpg,Morning Sun,https://wikiart.org/en/edward-hopper/morning-sun
231885,Lucian Freud,1974,232117,https://uploads0.wikiart.org/images/lucian-freud/small-naked-portrait-1974.jpg,Small Naked Portrait,https://wikiart.org/en/lucian-freud/small-naked-portrait-1974
213253,Edgar Degas,1872,213357,https://uploads3.wikiart.org/images/edgar-degas/dance-class-at-the-opera-1872.jpg,Dance Class at the Opera,https://wikiart.org/en/edgar-degas/dance-class-at-the-opera-1872
186729,Pieter Bruegel the Elder,1564,186740,https://uploads8.wikiart.org/images/pieter-bruegel-the-elder/christ-carrying-the-cross-1564.jpg,The Procession to Calvary,https://wikiart.org/en/pieter-bruegel-the-elder/christ-carrying-the-cross-1564
230928,Filippo Brunelleschi,1428,230939,https://uploads6.wikiart.org/images/filippo-brunelleschi/perspective-drawing-for-church-of-santo-spirito-in-florence.jpg,Perspective drawing for Church of Santo Spirito in Florence,https://wikiart.org/en/filippo-brunelleschi/perspective-drawing-for-church-of-santo-spirito-in-florence
235517,Edward Hopper,1952,235567,https://uploads4.wikiart.org/images/edward-hopper/hotel-by-a-railroad.jpg,Hotel By A Railroad,https://wikiart.org/en/edward-hopper/hotel-by-a-railroad
189246, Wassily Kandinsky,1923,189289,https://uploads1.wikiart.org/images/wassily-kandinsky/composition-viii-1923.jpg,Composition VIII,https://wikiart.org/en/wassily-kandinsky/composition-viii-1923
211667,Claude Monet,1884,211992,https://uploads4.wikiart.org/images/claude-monet/haystacks-at-giverny.jpg,Haystacks at Giverny,https://wikiart.org/en/claude-monet/haystacks-at-giverny
204422,M.C. Escher,1939,204591,https://uploads7.wikiart.org/images/m-c-escher/metamorphosis-ii.jpg,Metamorphosis II,https://wikiart.org/en/m-c-escher/metamorphosis-ii
211667,Claude Monet,1864,212344,https://uploads7.wikiart.org/images/claude-monet/seacoast-at-saint-adresse-sunset.jpg,"Seacoast at Saint-Adresse, Sunset",https://wikiart.org/en/claude-monet/seacoast-at-saint-adresse-sunset
191982,Edouard Manet,1874,192174,https://uploads3.wikiart.org/images/edouard-manet/the-monet-family-in-their-garden-at-argenteuil-1874(1).jpg,The Monet family in their garden at Argenteuil,https://wikiart.org/en/edouard-manet/the-monet-family-in-their-garden-at-argenteuil-1874
211667,Claude Monet,1874,211771,https://uploads5.wikiart.org/images/claude-monet/boaters-at-argenteuil.jpg,Boaters at Argenteuil,https://wikiart.org/en/claude-monet/boaters-at-argenteuil
204915,Vincent van Gogh,1889,206219,https://uploads3.wikiart.org/images/vincent-van-gogh/landscape-with-house-and-ploughman-1889(2).jpg,Landscape with House and Ploughman,https://wikiart.org/en/vincent-van-gogh/landscape-with-house-and-ploughman-1889
195044,Honore Daumier,1831,195557,https://uploads4.wikiart.org/images/honore-daumier/gargantua.jpg,Gargantua,https://www.wikiart.org/en/honore-daumier/gargantua-1831
211667,Claude Monet,1864,211785,https://uploads6.wikiart.org/images/claude-monet/boatyard-near-honfleur.jpg,Boatyard near Honfleur,https://wikiart.org/en/claude-monet/boatyard-near-honfleur
198614,Francisco de Zurbaran,1640,198620,https://uploads4.wikiart.org/images/francisco-zurbaran/agnus-dei-1640.jpg,Agnus Dei,https://wikiart.org/en/francisco-zurbaran/agnus-dei-1640
236422,John Everett Millais,1852,236481,https://uploads8.wikiart.org/images/john-everett-millais/ophelia.jpg,Ophelia,https://wikiart.org/en/john-everett-millais/ophelia
211667,Claude Monet,1863,211711,https://uploads0.wikiart.org/images/claude-monet/a-farmyard-in-normandy(1).jpg,A Farmyard in Normandy,https://wikiart.org/en/claude-monet/a-farmyard-in-normandy
191143,John Constable,-1,191203,https://uploads1.wikiart.org/images/john-constable/nuvens.jpg,Nuvens,https://wikiart.org/en/john-constable/nuvens
231885,Lucian Freud,1983,232027,https://uploads3.wikiart.org/images/lucian-freud/large-interior-w11-after-watteau-1983.jpg,Large Interior W11 (after Watteau),https://wikiart.org/en/lucian-freud/large-interior-w11-after-watteau-1983
211667,Claude Monet,1864,212065,https://uploads0.wikiart.org/images/claude-monet/lighthouse-at-the-hospice.jpg,Lighthouse at the Hospice,https://wikiart.org/en/claude-monet/lighthouse-at-the-hospice
235517,Edward Hopper,1928,235605,https://uploads7.wikiart.org/images/edward-hopper/not_detected_235605(1).jpg,Manhattan Bridge Loop,https://wikiart.org/en/edward-hopper/not_detected_235605
254484,El Lissitzky,1920,254490,https://uploads5.wikiart.org/images/el-lissitzky/beat-the-whites-with-the-red-wedge-1920.jpg,Beat the Whites with the Red Wedge,https://wikiart.org/en/el-lissitzky/beat-the-whites-with-the-red-wedge-1920
211667,Claude Monet,1890,212224,https://uploads6.wikiart.org/images/claude-monet/poppy-field-in-giverny.jpg,Poppy Field in Giverny,https://wikiart.org/en/claude-monet/poppy-field-in-giverny
187964,John William Waterhouse,1888,188057,https://uploads1.wikiart.org/images/john-william-waterhouse/the-lady-of-shalott-1888.jpg,The Lady of Shalott,https://wikiart.org/en/john-william-waterhouse/the-lady-of-shalott-1888
190436,Paul Gauguin,1893,190808,https://uploads7.wikiart.org/images/paul-gauguin/tahitian-mountains-1893.jpg,Tahitian mountains,https://wikiart.org/en/paul-gauguin/tahitian-mountains-1893
199938,Paul Klee,1928,202158,https://uploads5.wikiart.org/images/paul-klee/cat-and-bird(1).jpg,Cat and Bird,https://wikiart.org/en/paul-klee/cat-and-bird
190436,Paul Gauguin,1873,190604,https://uploads5.wikiart.org/images/paul-gauguin/in-the-forest-saint-cloud-1873.jpg,In the forest Saint Cloud,https://wikiart.org/en/paul-gauguin/in-the-forest-saint-cloud-1873
211667,Claude Monet,1873,212002,https://uploads4.wikiart.org/images/claude-monet/houses-at-argenteuil.jpg,Houses at Argenteuil,https://wikiart.org/en/claude-monet/houses-at-argenteuil
191443,Gustav Klimt,1913,191613,https://uploads8.wikiart.org/images/gustav-klimt/the-virgin-1913.jpg,The Virgin,https://wikiart.org/en/gustav-klimt/the-virgin-1913
